Time,RealCar.Z,RealCar.X,RealCar.Speed,AICar (4).Z,AICar (4).X,AICar (4).Speed,AICar (5).Z,AICar (5).X,AICar (5).Speed,AICar (4).Z,AICar (4).X,AICar (4).Speed,AICar (5).Z,AICar (5).X,AICar (5).Speed,
0,3.278255E-07,-2,0.7049074,-12.5,-2,0.7049074,8.300001,-2,0.7049074,-8.9,2,0.7049074,2.6,2,0.7049074,
1,0.0850828,-2.000019,1.538613,-12.18687,-1.968679,3.054703,8.67611,-1.966835,3.485121,-8.633715,2.025481,2.713317,2.905653,2.025645,2.953147,
2,1.347939,-1.999731,8.554843,-9.75169,-1.940315,14.08868,10.34237,-1.945756,8.239363,-6.18758,2.048219,14.29773,5.192751,2.04728,12.54273,
3,5.104027,-1.993372,15.53138,-5.792394,-1.913966,14.31538,13.23965,-1.919463,12.08341,-2.089019,2.069825,14.69467,8.875743,2.068881,13.60333,
4,9.37764,-1.982175,15.78721,-1.678093,-1.907461,14.64609,16.93563,-1.902499,13.72823,2.024057,2.07487,14.37411,12.77783,2.077045,13.92655,
5,13.54999,-1.969612,14.28034,2.432889,-1.91543,14.88174,20.86619,-1.900284,14.46838,5.999641,2.068962,14.27881,16.68742,2.074288,14.22895,
6,17.8985,-1.954539,16.61027,6.495368,-1.931183,15.1452,24.87408,-1.909438,14.93254,9.890281,2.057987,14.32778,20.6007,2.064605,14.51733,
7,22.36302,-1.936606,14.96508,10.85585,-1.948607,15.50471,29.15576,-1.92547,15.27832,13.96895,2.046772,14.47947,24.76369,2.053361,14.85204,
8,26.54023,-1.919011,15.23052,15.07034,-1.965415,15.48842,33.35404,-1.940968,15.55524,17.93851,2.035857,14.68915,28.85263,2.042422,15.17686,
9,30.76936,-1.89974,15.73006,19.36525,-1.982545,15.42602,37.70542,-1.957031,15.77407,22.05118,2.02455,14.93039,33.10523,2.031045,15.42878,
10,35.63843,-1.873492,18.32944,23.69222,-1.999221,15.93699,42.11356,-1.973304,15.96126,26.23176,2.013056,15.18105,37.4305,2.019474,15.68549,
11,40.51151,-1.843732,16.67166,28.22847,-2.011178,16.57142,46.57279,-1.989765,16.13809,30.47892,2.001379,15.40477,41.82065,2.00773,15.90992,
12,44.91206,-1.817042,15.28516,32.83868,-2.019938,16.51756,51.07416,-2.004894,16.28718,34.79124,1.989668,15.63747,46.26909,1.995828,16.10395,
13,49.41563,-1.788121,15.99752,37.40636,-2.026152,16.41511,55.615,-2.015724,16.39412,39.16391,1.980995,15.83926,50.76592,1.984808,16.26795,
14,53.92672,-1.7571,16.47162,41.96236,-2.030595,16.38333,60.18583,-2.023812,16.51426,43.59039,1.974561,16.02326,55.30223,1.976738,16.39673,
15,58.4314,-1.724255,16.03292,46.51287,-2.033959,16.36714,64.78625,-2.029794,16.61347,48.06348,1.969733,16.18753,59.87046,1.970834,16.49429,
16,62.83378,-1.690945,15.12064,51.13076,-2.036554,16.20367,69.50179,-2.034371,16.69461,52.66998,1.965956,16.32957,64.55944,1.966313,16.60449,
17,67.90975,-1.648101,19.72626,55.63748,-2.038584,16.5589,74.14709,-2.037793,16.74668,57.22584,1.963066,16.45133,69.18423,1.962908,16.70165,
18,73.11234,-1.597925,17.85134,60.26345,-2.04014,17.206,78.71632,-2.04039,16.81193,61.72147,1.960959,16.56619,73.73996,1.960246,16.75741,
19,77.93042,-1.551037,16.49602,65.05301,-2.041685,17.24319,83.39389,-2.042504,16.86917,66.33651,1.959141,16.67342,78.40241,1.958172,16.8191,
