Time,RealCar.Z,RealCar.X,RealCar.Speed,AICar (4).Z,AICar (4).X,AICar (4).Speed,AICar (5).Z,AICar (5).X,AICar (5).Speed,AICar (4).Z,AICar (4).X,AICar (4).Speed,AICar (5).Z,AICar (5).X,AICar (5).Speed,
0,3.278255E-07,2,0.7049074,-2.3,-2,0.7049074,8.400001,-2,0.7049074,-12.5,2,0.7049074,8.300001,2,0.7049074,
1,3.895451E-07,1.999999,2.882831E-05,-1.909034,-1.96691,4.189709,8.73651,-1.969299,3.300718,-12.13489,2.03171,3.645475,8.743793,2.040131,4.560187,
2,0.01930043,2.000003,0.8613962,1.063001,-1.933175,15.68618,11.2155,-1.940443,13.97426,-9.378712,2.064377,15.11824,11.08634,2.073267,10.81897,
3,1.966049,2.001873,12.83549,5.563951,-1.907291,15.67041,15.1931,-1.912877,13.66938,-5.742572,2.088672,11.66724,14.64296,2.104777,13.90206,
4,6.851797,2.017241,23.58186,9.639841,-1.904153,14.90923,18.767,-1.904296,13.29016,-2.442777,2.09561,13.80111,18.55501,2.117745,15.24979,
5,14.77543,2.071809,32.53931,13.67923,-1.913516,14.25165,22.48292,-1.907146,13.55,1.973937,2.088928,17.3835,22.90773,2.112968,15.99559,
6,23.81514,2.16505,29.7084,17.75583,-1.929476,14.04325,26.4761,-1.918831,14.10442,7.167475,2.068078,18.08976,27.59813,2.094076,16.42878,
7,29.76257,2.22308,18.60681,21.58873,-1.944434,14.17463,30.38819,-1.933038,14.61476,12.19606,2.046898,18.95421,32.10791,2.072456,16.69823,
8,34.89283,2.265539,21.34462,25.48432,-1.959634,14.45997,34.43368,-1.947326,15.07261,17.33245,2.026739,18.96691,36.67261,2.05091,16.82541,
9,42.52623,2.346896,31.93195,29.6297,-1.975809,14.82871,38.76273,-1.962616,15.46756,22.7528,2.003665,19.36301,41.44917,2.028365,16.90911,
10,52.94087,2.509647,41.24764,33.8788,-1.992388,15.17489,43.19175,-1.978258,15.77789,28.17297,1.987721,18.83939,44.21655,2.015304,9.446589,
11,65.58177,2.786582,49.4837,38.13762,-2.006123,15.47039,47.60891,-1.993859,15.99586,33.35344,1.978001,18.63664,48.60254,1.998985,17.88142,
